Date,Actual,Forecast
2017-Oct-04,4215.1,4326.746
2017-Oct-05,4315.4,4336.032
2017-Oct-06,4371,4345.339
2017-Oct-07,4436,4354.665
2017-Oct-08,4613.1,4364.011
2017-Oct-09,4782.3,4373.377
2017-Oct-10,4777,4382.763
